omega = 1.00	omega = 0.96	omega = 0.92	omega = 0.88
1.43126350684553	2.00219078741248	0.739953575251341	NaN
3.04740360399763	1.42186357230246	NaN	NaN
NaN	NaN	NaN	NaN
NaN	0.267184036894846	NaN	NaN
2.78611678604359	NaN	0.222054388990464	0.886930938695884
0.863973217512125	0.377971216292165	NaN	NaN
0.214295591258229	2.58791855783548	1.06763408416269	0.265420557908762
5.57840067126994	1.49466838869478	NaN	NaN
3.19219643746633	0.730020055859200	0.0549960780073484	1.53274089813983
1.33005745290968	2.08897132918903	0.0602998925352200	NaN
2.03291418197795	NaN	0.623421527319844	1.47014911012915
NaN	NaN	0.162782950758875	1.68821696229974
0.195583292239384	NaN	0.245920946497411	NaN
NaN	NaN	NaN	0.430729381396947
3.11026726614816	0.577453633622831	NaN	0.506864756878825
0.909013527112890	NaN	NaN	0.649084219959674
3.60057684446742	NaN	NaN	0.0304645400714137
0.650531326058948	0.837115195239689	0.108545927074912	NaN
1.31065596294880	NaN	2.57084710215408	1.00570386178423
6.59216892155364	0.166667145088201	0.742656401086360	NaN
8.11035917856293	1.06517331221291	0.0517240798710595	0.789500140443205
0.0885401587870218	1.15970668141929	0.493479876442926	NaN
2.04938220702561	NaN	NaN	NaN
0.388598487441080	0.424568484220818	0.125745922963583	0.987102822764586
0.132731831546772	0.542089573604889	2.50555059409841	1.11949911869798
0.573694111723044	NaN	0.425396520366466	0.0706330999393137
0.783170824054507	1.97329413444826	NaN	0.216215996741478
1.86639277952018	0.811809151994587	0.240410478351612	NaN
